flight_number,launch_year,launch_date_utc,rocket_name,rocket_type,launch_site
71,2018,2018-12-03T18:34:00.000Z,Falcon 9,FT,VAFB SLC 4E
72,2018,2018-12-05T18:16:00.000Z,Falcon 9,FT,CCAFS SLC 40
73,2018,2018-12-23T13:51:00.000Z,Falcon 9,FT,CCAFS SLC 40
74,2019,2019-01-11T15:31:00.000Z,Falcon 9,FT,VAFB SLC 4E
75,2019,2019-02-22T01:45:00.000Z,Falcon 9,FT,CCAFS SLC 40
76,2019,2019-03-02T07:45:00.000Z,Falcon 9,FT,KSC LC 39A
77,2019,2019-04-11T22:35:00.000Z,Falcon Heavy,FT,KSC LC 39A
78,2019,2019-05-04T06:48:00.000Z,Falcon 9,FT,CCAFS SLC 40
79,2019,2019-05-24T02:30:00.000Z,Falcon 9,FT,CCAFS SLC 40
80,2019,2019-06-12T14:17:00.000Z,Falcon 9,FT,VAFB SLC 4E
81,2019,2019-06-25T03:30:00.000Z,Falcon Heavy,FT,KSC LC 39A
82,2019,2019-07-25T22:01:00.000Z,Falcon 9,FT,CCAFS SLC 40
83,2019,2019-08-06T22:52:00.000Z,Falcon 9,FT,CCAFS SLC 40
84,2019,2019-11-11T14:56:00.000Z,Falcon 9,FT,CCAFS SLC 40
85,2019,2019-12-05T17:29:23.000Z,Falcon 9,FT,CCAFS SLC 40
86,2019,2019-12-17T00:10:00.000Z,Falcon 9,FT,CCAFS SLC 40
87,2020,2020-01-07T02:19:00.000Z,Falcon 9,FT,CCAFS SLC 40
88,2020,2020-01-19T14:00:00.000Z,Falcon 9,FT,KSC LC 39A
89,2020,2020-01-29T14:06:00.000Z,Falcon 9,FT,CCAFS SLC 40
90,2020,2020-02-17T15:05:55.000Z,Falcon 9,FT,CCAFS SLC 40
91,2020,2020-03-07T04:50:31.000Z,Falcon 9,FT,CCAFS SLC 40
92,2020,2020-03-18T12:16:00.000Z,Falcon 9,FT,KSC LC 39A
93,2020,2020-04-22T19:30:00.000Z,Falcon 9,FT,KSC LC 39A
94,2020,2020-05-30T19:22:00.000Z,Falcon 9,FT,KSC LC 39A
95,2020,2020-06-04T01:25:00.000Z,Falcon 9,FT,CCAFS SLC 40
96,2020,2020-06-13T09:21:00.000Z,Falcon 9,FT,CCAFS SLC 40
97,2020,2020-06-30T19:55:00.000Z,Falcon 9,FT,CCAFS SLC 40
98,2020,2020-07-20T21:30:00.000Z,Falcon 9,FT,CCAFS SLC 40
99,2020,2020-08-07T05:12:00.000Z,Falcon 9,FT,KSC LC 39A
100,2020,2020-08-18T14:31:00.000Z,Falcon 9,FT,CCAFS SLC 40
101,2020,2020-08-30T23:18:00.000Z,Falcon 9,FT,CCAFS SLC 40
102,2020,2020-09-03T12:46:00.000Z,Falcon 9,FT,KSC LC 39A
103,2020,2020-10-06T11:29:00.000Z,Falcon 9,FT,KSC LC 39A
104,2020,2020-10-18T12:25:00.000Z,Falcon 9,FT,KSC LC 39A
105,2020,2020-10-24T15:31:00.000Z,Falcon 9,FT,CCAFS SLC 40
106,2020,2020-11-05T23:24:00.000Z,Falcon 9,FT,CCAFS SLC 40
107,2020,2020-11-16T00:27:00.000Z,Falcon 9,FT,KSC LC 39A
108,2020,2020-11-21T17:17:00.000Z,Falcon 9,FT,VAFB SLC 4E
109,2020,2020-10-24T15:31:00.000Z,Falcon 9,FT,CCAFS SLC 40
110,2020,2020-12-06T16:17:00.000Z,Falcon 9,FT,KSC LC 39A
110,2020,2020-12-13T17:30:00.000Z,Falcon 9,FT,CCAFS SLC 40
